Name,Isin,TickerYahoo,Market,Currency
Amundi USASRI,IE000R85HL30,USRI.PA,Euronext Paris,EUR
AMUNDI USCORP BBB,LU1525418726,UBBB.PA,Euronext Paris,USD
AMUNDI USD H YIELD,LU1435356149,USHY.PA,Euronext Paris,EUR
AMUNDI UST 10+,LU1407890620,US10.PA,Euronext Paris,USD
AMUNDI W WATER PEA,FR0011882364,AWAT.PA,Euronext Paris,EUR
AMUNDIETF CAC40(D),LU1681047079,C4D.PA,Euronext Paris,EUR
AmUSA Climate,IE000QQ8Z0D8,USA.PA,Euronext Paris,EUR
AmUSA Climate,IE0006IP4XZ8,USAC.PA,Euronext Paris,EUR
AXA BDV USD ACC,IE000SBHVL31,ABIU.PA,Euronext Paris,USD
AXA CLIM USD ACC,IE000Z8BHG02,ACLU.PA,Euronext Paris,USD
AXA EUR IG ACC,IE000JBB8CR7,AIPE.PA,Euronext Paris,EUR
AXA US HY ACC,IE000IAPH329,AHYU.PA,Euronext Paris,USD
AXA USD IG ACC,IE000N0TTJQ9,AIPU.PA,Euronext Paris,USD
BITCOIN ETF EUR,FR0014002IH8,BTC.PA,Euronext Paris,EUR
BNP ASust EU Corp,LU2697596745,ACES.PA,Euronext Paris,EUR
BNP ASust EU CorpD,LU2697596828,ACESD.PA,Euronext Paris,EUR
BNP ASust EU Gov,LU2697597552,AGES.PA,Euronext Paris,EUR
BNP ASust EU GovD,LU2697597719,AGESD.PA,Euronext Paris,EUR
BNP BB EURO AGG EC,LU1481202692,JBEM.PA,Euronext Paris,EUR
BNP EM SRI EC ESG,LU1659681230,EMIS.PA,Euronext Paris,EUR
BNP EM SRI PAB ED,LU1659681313,EISR.PA,Euronext Paris,EUR
BNP EM SRI PAB UC,LU1291098314,EMSR.PA,Euronext Paris,USD
BNP EU SRI PAB EC,LU1753045332,SRIEC.PA,Euronext Paris,EUR
BNP EU SRI PAB ED,LU1753045415,SRIE.PA,Euronext Paris,EUR
BNP EUR Ushr SRI C,LU2533812058,SRIUC.PA,Euronext Paris,EUR
BNP EUR Ushr SRI D,LU2533811910,SRIUD.PA,Euronext Paris,EUR
BNP JP SRI PAB EC,LU1753045845,SRIJC.PA,Euronext Paris,EUR
BNP JP SRI PAB ED,LU1753045928,SRIJ.PA,Euronext Paris,EUR
BNP LCEU PAB D ETF,LU2777377875,LCEUD.PA,Euronext Paris,EUR
BNP US SRI PAB EC,LU1659681586,EKLDC.PA,Euronext Paris,EUR
BNP US SRI PAB ED,LU1659681669,EKUS.PA,Euronext Paris,EUR
BNP US SRI PAB UC,LU1291103338,EKLD.PA,Euronext Paris,USD
BNP USD Corp SRI C,LU2616774076,USCBC.PA,Euronext Paris,USD
BNP USD Corp SRI D,LU2616776444,USCBD.PA,Euronext Paris,USD
BNP WD SRI PAB EC,LU1615092217,EMWE.PA,Euronext Paris,EUR
BNP WD SRI PAB UC,LU1291108642,EWRD.PA,Euronext Paris,USD
BNPP  BONDSRI ETF,LU1953136287,SRICD.PA,Euronext Paris,EUR
BNPP  EUR BOND SRI,LU1859444769,SRIC.PA,Euronext Paris,EUR
BNPP Agg BondSRI C,LU2533812991,BSRIC.PA,Euronext Paris,EUR
BNPP Agg BondSRI D,LU2533812728,BSRID.PA,Euronext Paris,EUR
BNPP Biodiv ETF,LU2446381555,BIODV.PA,Euronext Paris,EUR
BNPP Blue ESG ETF,LU2533813296,BLUSD.PA,Euronext Paris,USD
BNPP BONDSRI5 ETF,LU2446383338,SRIC6.PA,Euronext Paris,EUR
BNPP CAC 40 ESG,FR0010150458,E40.PA,Euronext Paris,EUR
BNPP CE LEADER ETF,LU1953136527,REUSE.PA,Euronext Paris,EUR
BNPP China EUR ETF,LU2314312849,CHINE.PA,Euronext Paris,EUR
BNPP China$ ETF,LU2314312922,CHINU.PA,Euronext Paris,USD
BNPP Circular ETF,LU2533810276,REUSD.PA,Euronext Paris,USD
BNPP CORP 1 3 ETF,LU2008760592,SRIC3.PA,Euronext Paris,EUR
BNPP CORP 3 5 ETF,LU2008761053,SRIC5.PA,Euronext Paris,EUR
BNPP EASY EPREUETF,LU1859445063,EEEH.PA,Euronext Paris,EUR
BNPP EASY JPH ESG,LU1481203070,EJAH.PA,Euronext Paris,EUR
BNPP EASY LOWCARB,LU1377382368,ECN.PA,Euronext Paris,EUR
